"country","date","value"
"Albania","2021-01-10",0
"Albania","2021-01-11",0
"Albania","2021-01-12",0
"Albania","2021-01-13",0.01
"Albania","2021-01-14",0.01
"Albania","2021-01-15",0.01
"Albania","2021-01-16",0.01
"Albania","2021-01-17",0.01
"Albania","2021-01-18",0.02
"Albania","2021-01-19",0.02
"Albania","2021-01-20",0.02
"Albania","2021-01-21",0.02
"Albania","2021-01-22",0
"Albania","2021-01-23",0
"Albania","2021-01-24",0
"Albania","2021-01-25",0
"Albania","2021-01-26",0
"Albania","2021-01-27",0
"Albania","2021-01-28",0
"Albania","2021-01-29",0
"Albania","2021-01-30",0
"Albania","2021-01-31",0
"Albania","2021-02-01",0
"Albania","2021-02-02",0.02
"Albania","2021-02-03",0
"Albania","2021-02-04",0
"Albania","2021-02-05",0
"Albania","2021-02-06",0
"Albania","2021-02-07",0
"Albania","2021-02-08",0
"Albania","2021-02-09",0.02
"Albania","2021-02-10",0
"Albania","2021-02-11",0
"Albania","2021-02-12",0
"Albania","2021-02-13",0
"Albania","2021-02-14",0
"Albania","2021-02-15",0
"Albania","2021-02-16",0
"Albania","2021-02-17",0.04
"Albania","2021-02-18",0.08
"Albania","2021-02-19",0
"Albania","2021-02-20",0
"Albania","2021-02-21",0
"Albania","2021-02-22",0.21
"Albania","2021-02-23",0
"Albania","2021-02-24",0
"Albania","2021-02-25",0
"Albania","2021-02-26",0
"Albania","2021-02-27",0
"Albania","2021-02-28",0
"Albania","2021-03-01",0
"Albania","2021-03-02",0
"Albania","2021-03-03",0
"Algeria","2021-01-29",0
"Algeria","2021-01-30",0
"Algeria","2021-01-31",0
"Algeria","2021-02-01",0
"Algeria","2021-02-02",0
"Algeria","2021-02-03",0
"Algeria","2021-02-04",0
"Algeria","2021-02-05",0
"Algeria","2021-02-06",0
"Algeria","2021-02-07",0
"Algeria","2021-02-08",0
"Algeria","2021-02-09",0
"Algeria","2021-02-10",0
"Algeria","2021-02-11",0
"Algeria","2021-02-12",0
"Algeria","2021-02-13",0
"Algeria","2021-02-14",0
"Algeria","2021-02-15",0
"Algeria","2021-02-16",0
"Algeria","2021-02-17",0
"Algeria","2021-02-18",0
"Algeria","2021-02-19",0
"Andorra","2021-01-25",0.75
"Andorra","2021-01-26",0
"Andorra","2021-01-27",0
"Andorra","2021-01-28",0
"Andorra","2021-01-29",0
"Andorra","2021-01-30",0
"Andorra","2021-01-31",0
"Andorra","2021-02-01",1.34
"Andorra","2021-02-02",0
"Andorra","2021-02-03",0
"Andorra","2021-02-04",0
"Andorra","2021-02-05",0
"Andorra","2021-02-06",0
"Andorra","2021-02-07",0
"Andorra","2021-02-08",0
"Andorra","2021-02-09",0
"Andorra","2021-02-10",1.67
"Andorra","2021-02-11",0
"Andorra","2021-02-12",2.1
"Andorra","2021-02-13",0
"Andorra","2021-02-14",0
"Andorra","2021-02-15",0
"Andorra","2021-02-16",0
"Andorra","2021-02-17",0
"Andorra","2021-02-18",0
"Andorra","2021-02-19",2.77
"Andorra","2021-02-20",0
"Andorra","2021-02-21",0
"Andorra","2021-02-22",0
"Andorra","2021-02-23",0
"Andorra","2021-02-24",3.09
"Andorra","2021-02-25",0
"Andorra","2021-02-26",3.27
"Anguilla","2021-02-04",0
"Anguilla","2021-02-05",0
"Anguilla","2021-02-06",0
"Anguilla","2021-02-07",0
"Anguilla","2021-02-08",0
"Anguilla","2021-02-09",0
"Anguilla","2021-02-10",0
"Anguilla","2021-02-11",0
"Anguilla","2021-02-12",0
"Anguilla","2021-02-13",8.94
"Anguilla","2021-02-14",18.41
"Anguilla","2021-02-15",0
"Anguilla","2021-02-16",0
"Anguilla","2021-02-17",0
"Anguilla","2021-02-18",0
"Anguilla","2021-02-19",0
"Anguilla","2021-02-20",0
"Anguilla","2021-02-21",0
"Anguilla","2021-02-22",0
"Anguilla","2021-02-23",0
"Anguilla","2021-02-24",0
"Anguilla","2021-02-25",0
"Anguilla","2021-02-26",26.19
"Argentina","2020-12-29",0
"Argentina","2020-12-30",0
"Argentina","2020-12-31",0
"Argentina","2021-01-01",0
"Argentina","2021-01-02",0
"Argentina","2021-01-03",0
"Argentina","2021-01-04",0
"Argentina","2021-01-05",0
"Argentina","2021-01-06",0
"Argentina","2021-01-07",0
"Argentina","2021-01-08",0
"Argentina","2021-01-09",0
"Argentina","2021-01-10",0
"Argentina","2021-01-11",0
"Argentina","2021-01-12",0
"Argentina","2021-01-13",0
"Argentina","2021-01-14",0
"Argentina","2021-01-15",0
"Argentina","2021-01-16",0
"Argentina","2021-01-17",0
"Argentina","2021-01-18",0
"Argentina","2021-01-19",0
"Argentina","2021-01-20",0.54
"Argentina","2021-01-21",0.55
"Argentina","2021-01-22",0.56
"Argentina","2021-01-23",0.57
"Argentina","2021-01-24",0.58
"Argentina","2021-01-25",0.58
"Argentina","2021-01-26",0.59
"Argentina","2021-01-27",0.6
"Argentina","2021-01-28",0.61
"Argentina","2021-01-29",0.62
"Argentina","2021-01-30",0.62
"Argentina","2021-01-31",0
"Argentina","2021-02-01",0.62
"Argentina","2021-02-02",0
"Argentina","2021-02-03",0.63
"Argentina","2021-02-04",0.66
"Argentina","2021-02-05",0
"Argentina","2021-02-06",0.68
"Argentina","2021-02-07",0.71
"Argentina","2021-02-08",0.71
"Argentina","2021-02-09",0.71
"Argentina","2021-02-10",0.75
"Argentina","2021-02-11",0.8
"Argentina","2021-02-12",0.81
"Argentina","2021-02-13",0.82
"Argentina","2021-02-14",0.82
"Argentina","2021-02-15",0.82
"Argentina","2021-02-16",0.83
"Argentina","2021-02-17",0.83
"Argentina","2021-02-18",0.87
"Argentina","2021-02-19",0.92
"Argentina","2021-02-20",0.99
"Argentina","2021-02-21",1.01
"Argentina","2021-02-22",1.02
"Argentina","2021-02-23",1.07
"Argentina","2021-02-24",1.14
"Argentina","2021-02-25",1.24
"Argentina","2021-02-26",1.37
"Argentina","2021-02-27",1.54
"Argentina","2021-02-28",1.62
"Argentina","2021-03-01",1.67
"Argentina","2021-03-02",1.82
"Argentina","2021-03-03",1.94
"Australia","2021-02-15",0
"Australia","2021-02-16",0
"Australia","2021-02-17",0
"Australia","2021-02-18",0
"Australia","2021-02-19",0
"Australia","2021-02-20",0
"Australia","2021-02-21",0
"Australia","2021-02-22",0
"Australia","2021-02-23",0.01
"Australia","2021-02-24",0.03
"Australia","2021-02-25",0.07
"Australia","2021-02-26",0.1
"Australia","2021-02-27",0.12
"Australia","2021-02-28",0.13
"Australia","2021-03-01",0.13
"Australia","2021-03-02",0.16
"Australia","2021-03-03",0.2
"Austria","2021-01-10",0.08
"Austria","2021-01-11",0.13
"Austria","2021-01-12",0.15
"Austria","2021-01-13",0.22
"Austria","2021-01-14",0.33
"Austria","2021-01-15",0.44
"Austria","2021-01-16",0.56
"Austria","2021-01-17",0.62
"Austria","2021-01-18",0.67
"Austria","2021-01-19",0.78
"Austria","2021-01-20",0.96
"Austria","2021-01-21",1.17
"Austria","2021-01-22",1.35
"Austria","2021-01-23",1.47
"Austria","2021-01-24",1.5
"Austria","2021-01-25",1.52
"Austria","2021-01-26",1.63
"Austria","2021-01-27",1.71
"Austria","2021-01-28",1.82
"Austria","2021-01-29",1.93
"Austria","2021-01-30",2.04
"Austria","2021-01-31",2.06
"Austria","2021-02-01",2.07
"Austria","2021-02-02",2.11
"Austria","2021-02-03",2.16
"Austria","2021-02-04",2.21
"Austria","2021-02-05",2.24
"Austria","2021-02-06",2.31
"Austria","2021-02-07",2.33
"Austria","2021-02-08",2.35
"Austria","2021-02-09",2.39
"Austria","2021-02-10",2.43
"Austria","2021-02-11",2.49
"Austria","2021-02-12",2.55
"Austria","2021-02-13",2.63
"Austria","2021-02-14",2.68
"Austria","2021-02-15",2.69
"Austria","2021-02-16",2.75
"Austria","2021-02-17",2.82
"Austria","2021-02-18",2.96
"Austria","2021-02-19",3.08
"Austria","2021-02-20",3.2
"Austria","2021-02-21",3.31
"Austria","2021-02-22",3.39
"Austria","2021-02-23",3.47
"Austria","2021-02-24",3.59
"Austria","2021-02-25",3.77
"Austria","2021-02-26",0
"Austria","2021-02-27",0
"Austria","2021-02-28",0
"Austria","2021-03-01",0
"Austria","2021-03-02",0
"Austria","2021-03-03",0
"Azerbaijan","2021-01-17",0
"Azerbaijan","2021-01-18",0
"Azerbaijan","2021-01-19",0
"Azerbaijan","2021-01-20",0
"Azerbaijan","2021-01-21",0
"Azerbaijan","2021-01-22",0
"Azerbaijan","2021-01-23",0
"Azerbaijan","2021-01-24",0
"Azerbaijan","2021-01-25",0
"Azerbaijan","2021-01-26",0
"Azerbaijan","2021-01-27",0
"Azerbaijan","2021-01-28",0
"Azerbaijan","2021-01-29",0
"Azerbaijan","2021-01-30",0
"Azerbaijan","2021-01-31",0
"Azerbaijan","2021-02-01",0
"Azerbaijan","2021-02-02",0
"Azerbaijan","2021-02-03",0
"Azerbaijan","2021-02-04",0
"Azerbaijan","2021-02-05",0
"Azerbaijan","2021-02-06",0.64
"Azerbaijan","2021-02-07",0
"Azerbaijan","2021-02-08",0
"Azerbaijan","2021-02-09",0
"Azerbaijan","2021-02-10",0
"Azerbaijan","2021-02-11",0
