date,pfv,pv
20-Dec-20,0,556208
21-Dec-20,0,614117
23-Dec-20,0,1008025
26-Dec-20,0,1944585
28-Dec-20,0,2127143
30-Dec-20,0,2794588
2-Jan-21,0,4225756
4-Jan-21,0,4563260
5-Jan-21,0,4836469
6-Jan-21,0,5306797
7-Jan-21,0,5919418
8-Jan-21,0,6688231
11-Jan-21,0,8987322
12-Jan-21,0,9327138
13-Jan-21,0,9327138
14-Jan-21,1342086,8348671
15-Jan-21,1610524,8985342
19-Jan-21,2023124,11572679
20-Jan-21,2161419,12109022
21-Jan-21,2394961,12658296
22-Jan-21,2756953,13486140
23-Jan-21,3027865,14362480
24-Jan-21,3216836,15285295
25-Jan-21,3346390,15905889
26-Jan-21,3481921,16420316
27-Jan-21,3801053,16886917
28-Jan-21,4263056,17435550
29-Jan-21,4780888,18077430
30-Jan-21,5259693,18804472
31-Jan-21,5657142,19544001
1-Feb-21,5927847,20095306
2-Feb-21,6064792,20376044
3-Feb-21,6436931,20718025
4-Feb-21,6926050,20979147
5-Feb-21,7503864,21405633
6-Feb-21,8317180,21933784
7-Feb-21,9147185,22431915
8-Feb-21,9518015,22822131
9-Feb-21,9840429,23026784
10-Feb-21,10469514,23313870
11-Feb-21,11188782,23535182
12-Feb-21,12085830,23749025
13-Feb-21,13082172,23973950
14-Feb-21,14077440,24214830
16-Feb-21,15015434,24655117
17-Feb-21,15471536,24796473
18-Feb-21,16162358,24858691
19-Feb-21,17039118,24938283
20-Feb-21,17895667,24913928
21-Feb-21,18865319,24762773
22-Feb-21,19438495,24699623
23-Feb-21,19882544,24662425
24-Feb-21,20607261,24629882
25-Feb-21,21555117,24519275
26-Feb-21,22613359,24570840
27-Feb-21,23698627,24736909
28-Feb-21,24779920,24992260
1-Mar-21,25466405,25266592
2-Mar-21,26162122,25593325
3-Mar-21,26957804,25897775
4-Mar-21,27795980,26239690
5-Mar-21,28701201,26846496
6-Mar-21,29776160,27582689
7-Mar-21,30686881,28186829
