date,California,Florida,Georgia,Illinois,Michigan,New York State,North Carolina,Ohio,Pennsylvania,Texas,Other States
13-Jan-21,75188,71958,28185,18854,63834,52941,55328,17428,37996,66581,412991
14-Jan-21,79496,70522,30367,28330,49775,54522,28301,18267,34233,66082,379521
15-Jan-21,85553,73214,20245,30253,45499,59311,30405,21179,35401,82927,426250
16-Jan-21,88381,75010,20248,28158,41587,59662,28926,21926,32567,77429,410117
17-Jan-21,90079,76089,20250,26902,39240,59872,28038,22373,30867,74131,400442
18-Jan-21,91210,76807,20251,26064,37676,60012,27447,22672,29734,71932,393988
19-Jan-21,92018,77321,20252,25465,36558,60112,27024,22885,28924,70361,389380
20-Jan-21,91549,76368,28327,24867,31013,59145,22935,22595,26959,70529,379004
21-Jan-21,94083,66499,31794,23837,31658,61124,29296,19865,27859,71561,390603
22-Jan-21,104389,65899,53169,24248,33039,63790,31727,24296,29248,69220,408381
23-Jan-21,119770,79360,50358,27873,36947,66334,35671,27905,31950,72384,433573
24-Jan-21,133316,75844,47464,31080,38769,69502,40662,31907,35472,68740,468399
25-Jan-21,138153,64359,44570,31402,39100,68387,42821,33957,36636,65851,479431
26-Jan-21,140878,57258,50893,30390,36954,64808,42706,33706,36563,73415,474315
27-Jan-21,149620,56074,45117,32390,37632,67458,41324,36967,40474,71804,497340
28-Jan-21,159000,66754,44336,36114,37939,73438,53788,43198,35849,80351,524837
29-Jan-21,158126,68838,29544,39571,38744,71318,46616,42514,45694,82155,549439
30-Jan-21,155366,57314,36097,42007,38537,72774,45961,45154,48079,87541,581080
31-Jan-21,155063,59262,43160,44626,40251,72865,45031,43844,49083,92226,595763
1-Feb-21,160379,65798,46636,47373,39730,72765,42815,45572,51055,98889,602166
2-Feb-21,156749,67522,38782,47870,39030,73211,39490,48159,50799,82619,593042
3-Feb-21,155950,71525,37453,48845,38605,69210,44276,48449,43730,96932,580328
4-Feb-21,139561,73786,34833,50721,37770,61400,30525,48316,51766,99765,580384
5-Feb-21,144296,66357,34476,51860,38216,61298,36979,47734,42684,101557,572532
6-Feb-21,148831,70806,34588,54451,38680,61912,38929,47355,43724,109611,619879
7-Feb-21,171402,92557,34263,55733,39273,65915,41555,48565,45667,119680,640109
8-Feb-21,175654,86021,33889,57554,39547,70058,42660,48814,43882,117976,651578
9-Feb-21,177237,97594,34269,57815,42057,67892,44477,46941,46034,134278,649881
10-Feb-21,183712,100338,35545,61601,45237,76093,44199,45864,54281,130817,685925
11-Feb-21,201580,104854,37854,60923,47606,80062,45597,47299,53677,129014,691197
12-Feb-21,202925,136471,31628,61067,47350,82892,48191,51893,56762,134688,702426
13-Feb-21,203565,137942,32847,63229,49239,85146,50312,52952,48534,128579,704081
14-Feb-21,190746,122904,41671,64663,50433,84046,53556,56851,59213,126730,711983
15-Feb-21,190404,132271,41120,63802,49802,85676,53826,56733,55160,124715,704395
16-Feb-21,203788,123957,41927,68086,49589,95534,56765,60179,50636,117172,741658
17-Feb-21,195102,123862,35656,65188,45997,91775,56964,59820,58875,106240,705309
18-Feb-21,194468,123071,42314,61794,43820,90449,57088,57466,58330,89324,702789
19-Feb-21,231928,140344,63968,71364,52608,104996,73115,65606,73730,95577,924650
20-Feb-21,234166,122067,65423,69845,49455,102095,69341,64835,79082,86673,896450
21-Feb-21,233297,131314,59020,69331,46954,99541,64439,64109,69214,77160,881186
22-Feb-21,227005,122457,59729,64299,48744,99122,64854,64736,75797,73731,890399
23-Feb-21,216733,115287,58141,65950,46929,94610,61910,61964,78350,77700,875407
24-Feb-21,221857,114305,63689,66469,51942,91830,61381,66136,67892,87380,916182
25-Feb-21,223997,112282,56090,68866,54903,89347,61164,70021,69590,110504,956247
26-Feb-21,192335,72297,41854,66470,47438,72524,46498,59061,53951,104351,773346
27-Feb-21,194965,88065,40474,67681,51665,74919,51031,62123,63458,111466,817504
28-Feb-21,195368,93910,31656,69238,54967,86182,57036,65588,63574,127535,866846
1-Mar-21,214479,93905,28421,78880,55008,91983,60066,66320,68183,123045,914011
2-Mar-21,252715,95984,29231,77559,57718,103303,60984,70639,72196,165192,934931
3-Mar-21,265023,94949,30608,80143,54200,112359,63203,71704,74736,181084,960945
4-Mar-21,256584,101286,32206,84036,53383,121644,64444,71267,78068,181691,973721
5-Mar-21,251504,106303,34177,80655,55595,129919,56531,72136,86723,188300,996045
6-Mar-21,264079,123715,34002,86539,55951,140251,56396,75052,88971,204902,1005430
7-Mar-21,259101,122290,42017,92781,56925,144621,51845,75926,81060,195936,1014416
