Name,Count
Alaska,45440
Alabama,28153
Arkansas,28538
Arizona,29444
California,28592
Colorado,28803
Connecticut,33405
D.C.,39809
Delaware,29957
Florida,28325
Georgia,26749
Hawaii,34892
Iowa,27649
Idaho,25704
Illinois,28073
Indiana,27215
Kansas,29576
Kentucky,29226
Louisiana,27566
Massachusetts,30013
Maryland,30068
Maine,30634
Michigan,26828
Minnesota,28200
Missouri,27211
Mississippi,28323
Montana,29877
North Carolina,27712
North Dakota,32176
Nebraska,30135
New Hampshire,29313
New Jersey,27918
New Mexico,35108
Nevada,27867
New York,28926
Ohio,28080
Oklahoma,35015
Oregon,27928
Pennsylvania,29737
Rhode Island,28710
South Carolina,25140
South Dakota,36085
Tennessee,27497
Texas,25587
Utah,25470
Virginia,28456
Virgin Islands,34467
Vermont,33159
Washington,28448
Wisconsin,27278
West Virginia,31870
Wyoming,33530
